English,French
I am,Je suis
you are,to es
he/she is,il/elle/on est
we are,nous sommes
you (pl) are,vous ̻tes
they are,ils/elles sont
I have,J'ai
you have,tu as
he/she have,il/elle/on a
we have,nous avons
you (pl) have,vous avez
they have,ils/elles ont
I finish,Je finis
you finish,tu finis
he/she finishes,il/elle/on finit
we finish,nous finissons
you (pl) finish,vous finissez
they finish,ils/elles finissent
I go,Je vais
you go,tu vas
he/she goes,il/elle/on va
we go,nous allons
you (pl) go,vous allez
they go,ils/elles vont
I do/make,Je fais
you do/make,tu fais
he/she do/make,il/elle/on fait
we do/make,nous faisons
you (pl) do/make,vous faites
they do/make,ils/elles font
I see,Je vois
you see,tu vois
he/she sees,il/elle/on voit
we see,nous voyons
you (pl) see,vous voyez
they see,ils/elles voient
I come,Je viens
you come,tu viens
he/she comes,il/elle/on vient
we come,nous venons
you (pl) come,vous venez
they come,ils/elles viennent
I take,Je prends
you take,tu prends
he/she takes,il/elle/on prend
we take,nous prenons
you (pl) take,vous prenez
they take,ils/elles prennent
I want,Je peux
you want,tu peux
he/she wants,il/elle/on peut
we want,nous pouvons
you (pl) want,vous pouvez
they want,ils/elles peuvent
